theme;topic;word;topic_id
sex;sexual orientation;bisexuell;0
sex;sexual orientation;homosexuell;0
sex;sexual orientation;lesbisk;0
sex;sexual orientation;hbt;0
sex;sexual orientation;heterosexualitet;0
sex;sexual orientation;heterosexuell;0
sex;sexual orientation;homosexualitet;0
sex;sexual orientation;homosexuell_sambo;0
sex;sexual orientation;bisexualitet;0
sex;sexual orientation;asexualitet;0
sex;sexual orientation;asexuell;0
sex;sexual orientation;könsneutrala_äktenskap;0
sex;sexual orientation;registrerat_partnerskap;0
sex;sexual orientation;sexuellt_uttryck;0
sex;sexual orientation;otukt;0
sex;gender identity;sexuell_identitet;1
sex;gender identity;intersex;1
sex;gender identity;intersexuella;1
sex;gender identity;intersexuellas_könstillhörighet;1
sex;gender identity;intersexuell;1
sex;gender identity;transsexuell;1
sex;gender identity;transsexualitet;1
sex;gender identity;transsexualism;1
sex;gender identity;trans;1
sex;gender identity;könsdysfori;1
sex;gender identity;hbt;1
sex;gender identity;transsexualism;1
sex;gender identity;transvestism;1
sex;reproductive health;abort;2
sex;reproductive health;dagen_efter_piller;2
sex;reproductive health;gummivaror;2
sex;reproductive health;kondom;2
sex;reproductive health;missfall;2
sex;reproductive health;sterilisering;2
sex;reproductive health;preventivmedel;2
sex;reproductive health;p_piller;2
sex;reproductive health;p_skum;2
sex;reproductive health;p_spruta;2
sex;reproductive health;p_stav;2
sex;reproductive health;spiral;2
sex;reproductive health;pessar;2
sex;reproductive health;graviditet;2
sex;std/sexual health;aids;3
sex;std/sexual health;gonorr;3
sex;std/sexual health;hiv;3
sex;std/sexual health;aids;3
sex;std/sexual health;hpv;3
sex;std/sexual health;vestibulit;3
sex;std/sexual health;vulvasmärta;3
sex;std/sexual health;syfilis;3
sex;std/sexual health;klamydia;3
sex;std/sexual health;könssjukdomar;3
sex;std/sexual health;frigiditet;3
sex;sexual crimes;grooming;4
sex;sexual crimes;sexuella_övergrepp;4
sex;sexual crimes;sexuellt_våld;4
sex;sexual crimes;våldtäkt;4
sex;sexual crimes;tafsa;4
sex;sexual crimes;sexuellt_ofredande;4
sex;sexual crimes;sexualbrott;4
sex;sexual crimes;koppleri;4
sex;sexual crimes;prostitution;4
sex;sexual crimes;sexköp;4
sex;sexual crimes;incest;4
sex;sexual crimes;sexhandel;4
sex;lust;potens;5
sex;lust;porr;5
sex;lust;bdsm;5
sex;lust;impotens;5
sex;lust;samlag;5
sex;lust;sexting;5
sex;lust;viagra;5
sex;lust;klittra;5
